x,y
609,1818
1593,1449
1878,1463
311,1118
2510,286
1662,1253
1815,1708
421,1307
423,1136
2297,1413
641,1021
1261,423
1009,164
1258,1719
1147,845
1846,963
989,1414
2176,1000
1560,404
1608,212
932,1840
2436,553
1366,1510
976,552
80,212
2066,884
539,923
552,1161
2088,1644
1225,1657
1946,377
797,1745
2074,1064
1639,1640
1077,532
1355,1442
2152,721
1269,1458
477,1043
2260,669
427,1386
658,523
2018,1705
310,600
1959,266
1353,1008
1879,675
1422,227
2382,936
976,1132
1797,278
1124,230
1445,1491
1848,1622
1244,985
160,376
876,1626
2245,1534
2094,549
431,599
1348,1793
631,1856
1809,1532
71,1608
203,1464
1745,1184
295,31
2496,1538
1010,1204
205,693
119,1040
88,1091
1578,1788
1582,1103
991,828
1010,615
1368,1842
781,854
1531,1859
2364,1543
1229,1391
327,1826
2366,1326
2177,1330
1107,672
2058,1213
2532,254
2493,1205
2227,1888
1650,1709
1923,1767
2146,1236
367,1652
741,1560
1143,1467
1342,656
107,1328
1633,1896
1485,721
2086,1310
1383,31
2421,278
1337,486
1681,680
1744,1606
1219,1149
2038,253
793,1766
1855,86
2518,734
695,1090
2440,913
1856,577
25,1165
153,1337
1372,1596
2168,917
1846,718
581,1662
998,461
1727,1552
2367,1117
46,1855
1262,1836
680,1838
386,1854
2155,1093
1403,1317
2185,109
1614,12
2213,522
175,431
1549,826
904,1469
45,1348
2363,866
381,143
79,1812
494,1839
2319,969
333,1331
1214,1567
579,1079
419,1441
1848,35
2527,138
2163,1456
400,308
2448,1781
1467,1827
1156,712
735,716
628,662
1668,352
885,654
253,1505
1809,596
2252,607
1350,1558
1153,1785
2267,1078
657,1601
2040,1750
1245,496
16,1544
2128,929
2479,323
587,873
2450,1485
75,1702
587,1621
1346,1734
2256,1267
951,1484
2413,782
232,1300
2378,513
283,1798
1986,1875
750,927
1014,1800
1819,1182
256,445
968,1264
712,1122
2312,741
109,706
121,1607
1576,608
1760,1301
611,1214
1941,1867
2291,1436
569,1456
1040,1089
716,412
2549,1743
692,1559
1085,116
2386,1491
1044,1458
2187,1880
2284,773
2384,417
333,1445
908,621
121,1177
221,1391
340,820
99,1133
1545,1796
1936,865
1151,1174
1734,820
1393,166
2024,1795
2285,1660
2326,1866
141,473
728,1392
2166,565
381,946
775,748
673,1157
2320,1697
2011,114
100,847
2512,182
2283,1395
1475,1873
1412,1172
1520,366
1376,1906
63,1773
1583,508
1822,889
1872,1149
326,532
1607,1288
2465,1729
339,203
2047,1828
2319,1549
1029,1542
2375,1167
1800,1861
102,1231
1506,415
2318,1406
1213,1513
343,1120
1823,795
402,881
65,1481
1730,1652
815,1459
1025,1584
2295,286
217,1120
248,990
2066,1554
953,226
1323,192
1594,846
1160,1889
162,148
1731,1081
94,1476
589,1564
1925,1104
1745,685
768,891
1845,1095
838,1627
345,921
2217,891
601,153
759,985
433,1697
704,1640
1466,1625
1766,407
38,650
138,429
528,1683
212,186
2170,1814
2340,1230
1636,523
1731,1472
2095,1264
739,1521
1273,1318
2493,1813
127,1369
1739,493
1573,1550
1841,138
941,678
1340,410
1085,855
1381,749
1173,1240
1888,564
1114,754
651,1178
1353,970
1363,227
962,986
1584,1675
44,1645
993,1652
1362,103
226,1901
2405,1908
2293,425
1941,471
255,1040
611,1742
151,1832
2126,180
384,213
1414,1844
1645,788
563,165
2353,536
750,1894
910,335
761,1614
1430,755
2513,303
1322,1467
2050,1338
817,574
2310,139
378,1834
1724,1818
1107,1131
1564,898
2304,906
1536,961
1164,1379
56,1057
739,1422
897,178
50,970
1481,1142
2173,837
1685,1889
995,1067
1743,1850
1494,1013
2548,1518
