x,y
30,13
22,24
9,50
10,67
22,72
33,68
56,45
76,29
80,18
86,3
79,47
69,58
66,75
48,65
50,96
83,76
49,121
5,136
62,168
76,152
102,145
95,180
85,203
85,220
33,219
45,249
31,265
7,275
9,298
37,284
44,261
52,269
47,328
39,358
59,349
51,343
85,362
91,379
58,381
42,404
33,429
51,428
7,394
7,343
91,323
79,331
90,249
97,246
118,238
116,259
123,200
133,177
148,199
139,96
118,91
112,39
126,37
146,9
172,1
167,30
146,42
126,307
139,355
122,396
122,416
72,465
113,474
131,457
150,439
160,397
163,381
142,371
141,326
164,325
176,337
166,359
143,289
151,269
169,280
169,295
189,306
195,293
205,277
216,252
169,220
150,236
172,181
192,180
210,171
200,158
172,153
195,118
200,343
203,350
190,378
201,414
213,413
190,432
192,448
178,448
198,472
214,465
234,461
248,463
257,444
237,403
244,418
271,429
312,427
298,445
295,463
299,471
277,367
271,385
257,384
228,356
248,335
263,330
218,300
241,268
264,300
280,299
273,315
289,327
287,347
325,350
312,356
300,365
311,369
338,448
367,464
383,449
396,454
382,467
415,468
422,449
435,432
415,423
400,406
400,374
391,421
364,414
360,401
347,381
361,382
370,339
416,366
439,394
455,406
472,422
484,430
462,384
488,395
525,438
544,470
562,448
559,429
544,380
554,393
566,411
538,357
581,389
585,377
602,413
625,434
636,409
630,474
607,371
319,324
320,307
335,308
341,322
313,288
357,294
381,305
390,279
347,268
340,257
325,263
295,239
280,253
281,220
279,200
225,209
284,188
295,173
272,127
261,124
264,95
255,59
274,15
321,4
307,34
305,47
326,51
311,77
312,101
319,111
337,106
315,144
316,157
338,146
366,141
380,184
366,221
363,242
411,237
396,203
399,151
389,118
371,107
360,83
345,65
373,65
380,86
380,39
358,28
377,23
393,3
414,49
405,62
398,89
430,120
448,100
466,95
468,113
451,64
471,69
434,43
453,33
465,0
480,52
502,51
511,7
548,5
529,32
554,43
592,3
612,5
633,19
613,27
637,39
615,67
613,79
600,80
629,87
629,106
616,121
567,102
555,67
548,52
528,78
514,91
517,110
557,126
594,135
596,135
603,141
581,130
540,140
540,151
513,151
503,178
480,128
457,184
444,200
432,210
420,220
987,21
967,19
956,45
965,68
941,34
924,19
910,38
885,26
889,67
875,83
848,68
830,64
836,91
855,17
818,17
797,16
770,3
733,13
720,7
677,3
661,45
687,42
711,38
758,32
747,43
738,68
767,77
768,86
801,59
798,95
749,93
731,101
706,89
705,119
651,127
665,115
661,102
649,64
662,72
