x,y
2520,836
2527,1581
1335,328
20,1896
818,305
1296,170
1242,795
1493,929
1364,1017
2097,1906
671,614
493,107
1599,1209
1300,80
1256,1262
1426,663
1251,990
1759,654
1650,302
1062,593
482,1554
1561,596
878,889
1066,923
2346,1011
671,1090
1727,1196
478,251
1723,336
947,1149
1584,1130
671,802
441,756
1134,771
1022,467
228,455
486,790
514,179
1631,1260
1394,706
1799,299
2080,357
1331,1123
1548,733
1046,776
705,164
1206,920
1167,818
860,240
1915,345
887,744
821,116
618,622
407,497
1545,309
738,233
1292,16
1804,750
1012,161
603,1217
2440,1006
1832,567
1770,425
817,760
473,377
1426,400
1692,298
2467,912
715,822
771,1092
1887,487
881,834
975,1002
589,1511
1292,547
545,1125
289,721
1226,562
2144,115
200,1056
1118,999
1067,1264
1846,1309
1094,1372
691,1170
1538,829
1370,1182
361,266
1034,859
1774,1074
1444,367
1443,1309
886,446
814,1115
1425,751
916,622
1482,1113
1076,822
2165,1006
463,184
829,806
592,278
371,941
1664,480
643,590
2060,728
1679,1186
2486,1183
1798,495
1121,719
669,330
1815,1133
2007,466
355,1010
2027,660
1078,750
1397,1130
1892,999
1302,748
1057,553
829,735
2423,57
1512,1698
636,225
894,929
1980,221
2318,64
2005,603
1827,1040
1790,942
1152,483
1420,495
1491,141
2058,1012
523,829
1210,1461
1729,727
434,297
1388,439
1250,1415
1546,364
1526,883
1831,901
1923,34
1644,1086
1015,1330
1564,1259
761,1053
1009,556
1354,342
513,749
259,146
621,306
1667,12
999,905
761,308
526,306
2025,294
724,932
2448,1240
1871,354
1249,1081
1262,868
246,36
1718,480
1906,1133
1804,421
1287,920
870,1101
938,1064
980,89
1851,64
2085,450
1028,813
1042,1084
502,49
2040,840
214,617
2548,353
741,669
651,974
1597,579
1799,536
1512,623
1173,1340
1504,781
872,986
2268,1101
785,72
1575,883
971,927
1161,1068
148,664
2015,726
1521,1344
1824,1186
1328,926
1098,1157
1029,702
2469,379
1486,1007
50,1049
1864,535
1668,706
1487,1159
125,492
1343,564
1164,949
787,723
434,342
1368,376
2088,177
2182,305
1957,940
1811,1447
1104,427
1029,8
1407,786
1600,546
1996,357
1128,867
1628,584
947,1476
199,237
1745,611
1741,980
1950,329
332,694
1391,526
1296,519
1770,51
1159,1178
417,302
180,722
2054,82
1265,627
548,1699
772,848
1365,784
1396,603
1569,416
1721,1319
1681,628
1562,695
638,696
1645,530
2378,1111
243,106
983,700
1453,627
1514,469
307,597
449,692
436,1124
973,1053
1365,1083
366,441
511,522
2314,469
74,671
1638,680
788,477
1113,751
650,747
1217,863
1330,402
1428,124
1805,821
1203,969
1098,1716
592,663
1897,1027
263,918
1002,859
1474,1268
277,569
2026,569
1288,697
370,184
1311,888
2435,1344
1343,595
1461,979
612,156
1928,173
1824,1271
641,281
1387,1026
1987,283
632,333
1108,814
825,16
1769,580
292,1169
1687,887
590,579
1752,456
685,826
189,780
1692,755
1467,1057
1515,1537
665,269
779,512
814,973
496,1013
2376,204
789,1066
165,160
2175,951
1651,450
1980,678
1016,755
1736,809
1323,470
1325,527
1783,861
1410,1174
1692,337
551,850
1474,694
240,497
811,899
933,581
1353,617
2076,1683
1811,915
246,235
1614,11
1796,337
1309,682
1058,1342
392,1141
1769,308
985,658
1648,1123
182,1632
99,197
2085,312
1382,852
302,405
1423,551
1443,1154
1587,1352
1221,654
2109,1034
518,614
929,907
1728,311
1581,775
1361,1020
63,201
1737,1141
296,225
1288,388
1161,780
2151,707
2523,1299
228,306
1339,946
625,1033
2054,226
951,818
1243,1355
288,837
963,736
994,1413
87,405
1621,971
1496,1490
1522,1380
1899,680
1125,969
1134,651
1238,1192
297,1522
1380,821
1465,777
876,1031
476,838
759,994
2057,628
1333,506
1293,790
1337,1015
968,1434
1475,1333
835,613
2097,25
536,602
673,590
569,897
598,355
2205,606
1226,740
673,648
1360,738
1632,945
1499,1063
1851,1031
2223,54
2346,7
471,557
945,699
1764,707
1845,334
2409,258
870,496
570,1099
364,330
534,451
2041,539
636,258
1587,66
1459,1091
785,185
2356,546
218,680
568,1266
1049,1288
263,366
611,834
1407,994
2232,18
715,626
1895,913
1432,1183
1237,611
1898,542
698,849
756,1085
820,212
212,116
983,516
1409,369
2086,660
1526,1204
1455,545
693,977
1199,1272
1734,1114
1198,373
1247,899
1581,1197
1390,1654
2265,1200
1601,377
1292,1017
496,147
1369,579
1288,991
1433,1102
1581,687
1466,1019
1213,1360
1593,733
344,25
563,1179
1161,1387
549,79
1676,523
509,291
1738,489
1434,722
2023,700
1414,452
172,872
253,185
339,973
569,31
595,932
280,420
447,554
2512,382
825,1070
1461,479
716,221
1172,1201
1682,1581
1080,451
1347,969
1783,30
1440,1717
922,997
1647,1404
1880,561
1215,1382
1510,33
538,662
1745,893
1206,1008
1775,968
2218,242
2075,780
551,1018
347,1342
884,1362
719,1265
1185,1099
1077,1138
1805,447
1842,401
409,813
1187,881
719,574
979,570
1421,569
1447,946
155,1008
1763,1269
1729,508
2285,482
1265,1175
1575,1097
785,1100
1262,1512
1558,912
1235,1708
1899,594
441,267
1717,1270
1770,390
2188,355
1565,660
1810,702
523,1147
2286,998
1667,1352
947,529
432,761
2097,764
1440,1066
987,1517
573,181
744,139
1355,425
1574,972
1781,1580
401,1087
539,195
2272,303
1961,448
1385,933
1089,1096
564,623
1605,618
1027,951
1205,949
276,1266
1383,1252
1833,649
1444,1371
1543,488
2198,485
646,309
1647,1190
1495,529
1542,25
1926,286
367,382
486,530
979,1271
985,978
997,1485
509,254
1168,518
965,797
530,1185
1222,710
1935,660
2175,721
2013,1155
1778,1317
642,561
1981,471
306,618
703,755
640,840
2469,1085
162,197
1266,498
2450,534
599,206
1997,192
1953,287
1648,831
1445,1023
1695,499
908,796
1013,971
513,1696
972,716
325,191
1547,568
1627,835
1476,749
1710,300
1682,587
804,846
926,1213
1263,646
2079,46
2238,161
75,622
1173,549
1302,609
1610,1472
2191,766
1222,1111
312,91
552,165
1074,519
1663,604
1774,530
1954,522
2076,491
890,657
839,982
1087,987
1449,1250
1553,1149
568,278
1540,100
1918,475
1634,1057
1109,1510
1827,604
372,818
1860,928
1722,686
1245,1309
1880,1616
996,206
1288,357
683,288
467,209
1670,1421
1912,379
1382,659
1595,304
1719,282
2042,584
148,840
806,875
1150,1106
1748,12
358,1140
918,1341
1011,1841
